Gene symbol,G0,G1,G2,G3a,G4,G5a,G5b,G5c,G3b,,Top2a,Gene symbol,Mono,DC,B,T
Rrs1,0.655502348,0.812114069,0.101116883,0.031994871,0.019669501,0.010079498,0.018105395,0.023648152,0.043107275,,Rpl11,Rrs1,0.182441088,0.271956924,0.439760493,0.36511479
Adhfe1,0,0.006135509,0.024420908,0.00812777,0.002503739,0,0,0,0,,Tnfsf15,Adhfe1,0.000525929,0.002678331,0.002212891,0.001163594
3110035E14Rik,0,0,0,0,0,0,0,0,0,,Adcy10,3110035E14Rik,0,0,0,0
Gm29520,0,0,0,0,0,0,0,0,0,,C1qbp,Gm29520,0,0,0,0
Mybl1,0.02285455,0.007296864,0.038214654,0.00044987,0,0.001093279,0.00363177,0,0,,Bmp2,Mybl1,0.012289631,0.009112359,0.011001269,0.001825383
Vcpip1,0.310870401,0.264239599,0.137370172,0.157691751,0.165282765,0.164196564,0.192981563,0.285948738,0.237821118,,Mtch1,Vcpip1,0.377180439,0.336615624,0.32648861,0.28893105
1700034P13Rik,0.003727776,0.008944078,0.003335444,0,0,0,0,0,0,,Jak3,1700034P13Rik,0.000510765,0.003665646,0.003994349,0.000841141
Sgk3,0.312962026,0.31602913,0.334397685,0.307737704,0.34746203,0.384606985,0.401062307,0.536957553,0.423106804,,Kcnma1,Sgk3,1.047963621,0.615016451,0.310940893,0.143516743
Mcmdc2,0.011215804,0.011696445,0.010512185,0.010935658,0.019294346,0.057035589,0.068089364,0.112920965,0,,Bub1,Mcmdc2,0.042605395,0.010607303,0.025416429,0.008309532
Snhg6,1.405467045,1.172269364,0.34600863,0.158784399,0.072686808,0.057158261,0.10647869,0.072767209,0.113915325,,Gzma,Snhg6,0.568218428,0.636902678,0.58673868,0.590043056
Tcf24,0,0.000657188,0.00566753,0.009534761,0.004737399,0.002972156,0.001500338,0,0,,Ddit3,Tcf24,0.001192514,0,0.001866102,0.000754789
Ppp1r42,0.007970064,0.026543997,0.42134435,0.772287039,0.4073725,0.193153814,0.141268845,0.152758351,0.733242551,,Unc5b,Ppp1r42,0.034881312,0.019626214,0.042578805,0.007554101
Gm15818,0,0,0.000591142,0,0,0.001168801,0,0.003287518,0,,Msx1,Gm15818,0,0,0,0.000388635
Cops5,0.654971117,0.70670367,0.49512421,0.184375448,0.145816477,0.164441976,0.212510113,0.199918204,0.279792094,,Msx2,Cops5,0.491129379,0.536749758,0.485850261,0.428639375
Cspp1,0.633285732,0.429422603,0.409297483,0.252012265,0.242630037,0.366386798,0.493068551,0.358399567,0.330157148,,Ceacam1,Cspp1,0.372828946,0.46414393,0.801338809,0.431695218
Arfgef1,0.550707955,0.567857092,0.805341457,0.642761966,0.289325298,0.398391346,0.504201458,0.44644502,1.038827192,,Tnfaip8,Arfgef1,0.376407762,0.409127895,0.480725527,0.394522125
Cpa6,0.001660775,0.012170064,0.008521945,0.005477337,0.008786515,0.006568827,0.006595138,0,0,,Prr7,Cpa6,0.001387429,0,0,0.000650797
Prex2,0.033795045,0,0.000889396,0,0,0.002220768,0.001509475,0,0,,Pitx3,Prex2,0.000636133,0,0,0.004753737
A830018L16Rik,0,0,0,0,0,0,0,0,0,,Trps1,A830018L16Rik,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,,Dedd2,Gm17644,0.000731137,0,0,0.000650133
Gm29663,0,0,0,0,0,0,0,0,0,,Sirt2,Gm29663,0,0,0,0
Sulf1,0,0,0,0,0,0,0,0,0,,Bard1,Sulf1,0,0,0,0
Slco5a1,0.002086706,0.002134601,0,0,0,0,0,0,0,,Rad9a,Slco5a1,0,0,0.015010723,0
Gm29283,0,0,0,0,0,0,0,0,0,,Ppp2r1b,Gm29283,0,0,0,0
Prdm14,0,0,0,0,0,0,0,0.004217518,0,,Camk1d,Prdm14,0.000614653,0,0,0.00041666
Ncoa2,0.446074914,0.185542069,0.136125653,0.117915436,0.175857417,0.213054951,0.261153944,0.228260772,0.258562066,,Acer2,Ncoa2,0.255711185,0.295397429,0.287116456,0.312517975
