pyropotosis
Nlrp1b
Nlrp9b
Naip2
Naip6
Naip5
Gsdma
Gsdmc4
Gsdmc
Nlrc4
Gsdmc2
Dhx9
Gsdmc3
Apip
Gsdma3
Aim2
Gsdmd
Casp1
Casp4
Gsdma2
