Necroptosis
Trpm7
Tnf
Mlkl
Rbck1
Cyld
Cav1
Rnf31
Ppif
Peli1
Fadd
Ripk3
Trp53
Birc3
Bok
Ripk1
Tlr3
Ipmk
Birc2
Spata2
Map3k7
Fas
Cflar
Fasl
Slc25a4
Casp8
Pgam5
Dnm1l
Ybx3
Pygl
Itpk1
